vault,date,apy24h,volume24hUsd,feesAndRewards24hUsd,cumulativeFeesAndRewardsUsd,stakingYieldA,stakingYieldB
orca,2025-02-24T20:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T21:00:00.000Z,0.03185657040018239019962558983357328068,30430899.225230575,2753.9963798835,799848.10110665231392090861946176595216,,
orca,2025-02-24T22:00:00.000Z,0.046758757201662561444128052950463407447,43278221.521914996,3916.6790477334,799848.10110665231392090861946176595216,,
orca,2025-02-24T23:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801331.32709577421403214403097958467062,,
orca,2025-02-25T00:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801592.39458468075258996090397989206847,,
orca,2025-02-25T01:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801592.39458468075258996090397989206847,,
orca,2025-02-25T02:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801592.39458468075258996090397989206847,,
orca,2025-02-25T03:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801592.39458468075258996090397989206847,,
orca,2025-02-25T04:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801592.39458468075258996090397989206847,,
orca,2025-02-25T05:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801592.39458468075258996090397989206847,,
orca,2025-02-25T06:00:00.000Z,0.049879609306528822774150674294421419195,45925803.61265591,4156.2852269453,801592.39458468075258996090397989206847,,
orca,2025-02-25T07:00:00.000Z,0.076871000256631547172216307509159450186,64899628.517490126,5873.4163808328,804629.67856167850487063988889945717375,,
orca,2025-02-25T10:00:00.000Z,0.076871000256631547172216307509159450186,64899628.517490126,5873.4163808328,804629.67856167850487063988889945717375,,
orca,2025-02-25T11:00:00.000Z,0.076871000256631547172216307509159450186,64899628.517490126,5873.4163808328,804629.67856167850487063988889945717375,,
orca,2025-02-25T12:00:00.000Z,0.076871000256631547172216307509159450186,64899628.517490126,5873.4163808328,804629.67856167850487063988889945717375,,
orca,2025-02-25T13:00:00.000Z,0.076871000256631547172216307509159450186,64899628.517490126,5873.4163808328,804629.67856167850487063988889945717375,,
