oracle_price,bid_impact_price,ask_impact_price,funding_rate,next_funding_rate,created_at
88.026204,88.06,88.07,0.000015,0.00001245,1772337603767
87.547616,87.54,87.563534,0.00001245,0.00001093,1772341203767
87.266386,87.23,87.24,0.00001093,0.000015,1772344803767
86.689119,86.616064,86.64,0.000015,0.000015,1772348403767
86.632487,86.575296,86.59,0.000015,0.000015,1772352003767
85.238874,85.174996,85.19,0.000015,0.000015,1772355603767
84.989766,84.94,84.954498,0.000015,0.000015,1772359203767
85.224039,85.18,85.19,0.000015,0.000015,1772362803767
85.177298,85.13,85.14,0.000015,0.00000221,1772366403767
84.877753,84.86,84.87,0.00000221,0.00000827,1772370003768
86.092558,86.08,86.091114,0.00000827,0.0000057,1772373603767
85.80714,85.77,85.78,0.0000057,0.00000951,1772377203767
85.672848,85.64,85.65,0.00000951,0.00001186,1772380803767
83.997256,84.02,84.03,0.00001186,0.00001082,1772384403767
83.899639,83.84,83.85,0.00001082,0.00000286,1772388003767
83.96625,83.92,83.948365,0.00000286,0.00001111,1772391603768
83.220287,83.18,83.19,0.00001111,0.000015,1772395203767
81.980203,81.98,82.000528,0.000015,0.00001088,1772398803767
82.936105,82.9,82.91,0.00001088,0.00000588,1772402403767
82.681431,82.55,82.56,0.00000588,0.00000123,1772406003767
83.602631,83.54,83.55,0.00000123,-0.00000277,1772409603767
85.006672,85.02,85.033334,-0.00000277,0.00000812,1772413203767
84.622666,84.62,84.63,0.00000812,0.0000022,1772416803767
84.161105,84.1,84.119477,0.0000022,-0.00000227,1772420403767
84.775225,84.740537,84.76,-0.00000227,-0.00000574,1772424003767
84.305833,84.27,84.281172,-0.00000574,-0.0000059,1772427603767
84.232177,84.16,84.17,-0.0000059,-0.00001345,1772431203767
83.248537,83.18,83.19,-0.00001345,-0.00002295,1772434803767
82.954991,82.88,82.89,-0.00002295,-0.00002305,1772438403767
83.445726,83.361845,83.38,-0.00002305,-0.00000918,1772442003767
83.637555,83.62,83.63,-0.00000918,-0.00000084,1772445603767
83.878817,83.77,83.78,-0.00000084,-0.00000488,1772449203767
83.885377,83.83,83.84,-0.00000488,-0.00000162,1772452803767
83.700872,83.65,83.670987,-0.00000162,-0.00000766,1772456403767
83.06225,83,83.01,-0.00000766,-0.00001231,1772460003767
85.664265,85.6,85.631119,-0.00001231,-0.00001662,1772463603767
88.778369,88.71,88.729891,-0.00001662,0.00000465,1772467203767
88.853556,88.83,88.84,0.00000465,0.00001312,1772470803767
87.603142,87.52,87.53,0.00001312,0.000015,1772474403767
87.316988,87.26,87.27,0.000015,0.00001366,1772478003767
87.635119,87.59,87.6,0.00001366,0.00001309,1772481603767
87.582797,87.49,87.5,0.00001309,0.00000691,1772485203767
87.542838,87.52,87.53,0.00000691,0.00000184,1772488803768
88.007261,87.97,87.989869,0.00000184,0.00000213,1772492403767
86.639233,86.57,86.613725,0.00000213,-0.0000018,1772496003767
86.94635,86.840848,86.86,-0.0000018,-0.00000926,1772499600077
86.162922,86.09105,86.11,-0.00000926,-0.00000626,1772503200077
86.221858,86.14,86.151974,-0.00000626,-0.00001081,1772506800078
86.297956,86.23,86.24,-0.00001081,-0.00002269,1772510400077
85.85686,85.78,85.79,-0.00002269,-0.00002231,1772514000077
85.795196,85.73,85.74,-0.00002231,-0.00002134,1772517600077
85.860336,85.77,85.78,-0.00002134,-0.00000847,1772521200078
85.582417,85.524999,85.54,-0.00000847,-0.0000054,1772524800078
84.259179,84.19,84.2,-0.0000054,-0.00001221,1772528400077
84.301028,84.24,84.25,-0.00001221,-0.0000152,1772532000078
83.913269,83.86,83.87,-0.0000152,-0.00000609,1772535600077
84.2112,84.15,84.16,-0.00000609,-0.00001224,1772539200087
84.426371,84.36,84.378667,-0.00001224,-0.00001076,1772542800077
83.63907,83.56,83.57,-0.00001076,-0.000021,1772546400077
83.262151,83.175663,83.21,-0.000021,-0.00002314,1772550000085
85.043161,84.96,84.97,-0.00002314,-0.00001303,1772553600077
85.391877,85.34,85.35,-0.00001303,0.00000078,1772557200077
85.184028,85.14,85.15,0.00000078,0.00000801,1772560800077
85.370215,85.35,85.36,0.00000801,0.000015,1772564400077
85.070313,85.03,85.04,0.000015,0.00001338,1772568000085
84.781981,84.807999,84.824651,0.00001338,0.00001073,1772571600077
85.124349,85.07,85.08,0.00001073,0.0000072,1772575200077
86.278654,86.23,86.24,0.0000072,0.00000749,1772578800077
86.984915,86.92,86.93,0.00000749,0.00000336,1772582400077
86.656543,86.56,86.57,0.00000336,-0.00000043,1772586000084
87.235944,87.22,87.23,-0.00000043,0.00000289,1772589600077
87.087283,87.01,87.023234,0.00000289,-0.00000221,1772593200077
85.767658,85.71551,85.73,-0.00000221,-0.00000093,1772596800081
85.392604,85.35,85.36,-0.00000093,-0.00000374,1772600400078
85.676776,85.63,85.64,-0.00000374,0.0000012,1772604000078
85.605635,85.57,85.58,0.0000012,0.000015,1772607600077
87.469201,87.38,87.39,0.000015,0.000015,1772611200079
89.650351,89.69,89.7,0.000015,0.000015,1772614800077
90.51023,90.5,90.514882,0.000015,0.000015,1772618400078
90.083992,90.1,90.117002,0.000015,0.000015,1772622000077
89.768103,89.72,89.73,0.000015,0.0000068,1772625600085
89.451242,89.38,89.39,0.0000068,0.00000991,1772629200077
90.022641,89.94,89.95,0.00000991,0.00000352,1772632800078
90.138538,90.13,90.14,0.00000352,0.00000499,1772636400079
92.943162,92.88,92.89,0.00000499,0.00000252,1772640000078
91.546014,91.48,91.49,0.00000252,-0.00000345,1772643600078
91.550957,91.48,91.49,-0.00000345,-0.0000086,1772647200078
92.355077,92.32,92.33,-0.0000086,-0.00000224,1772650800077
93.185278,93.13,93.14,-0.00000224,-0.00000214,1772654400077
92.965332,92.8,92.82464,-0.00000214,0.00000353,1772658000077
92.350906,92.294998,92.31,0.00000353,0.0000078,1772661600091
91.310623,91.26,91.277767,0.0000078,0.00000141,1772665200077
90.918227,90.796665,90.82,0.00000141,-0.00000999,1772668800078
90.827704,90.72,90.738887,-0.00000999,-0.00001528,1772672400078
89.999034,89.92,89.93,-0.00001528,-0.00000979,1772676000077
90.193607,90.13,90.14,-0.00000979,-0.00000313,1772679600077
90.009469,89.96,89.97,-0.00000313,-0.00000989,1772683200077
90.394273,90.34,90.35,-0.00000989,-0.00000814,1772686800077
90.135699,90.12,90.13,-0.00000814,0.00000086,1772690400077
90.892589,90.81,90.82,0.00000086,-0.0000084,1772694000077
90.155526,90.08,90.09,-0.0000084,-0.00001756,1772697600078
90.630562,90.58,90.59,-0.00001756,-0.00001282,1772701200089
91.146865,91.11,91.140967,-0.00001282,-0.00000674,1772704800078
92.640719,92.582011,92.6,-0.00000674,-0.00000554,1772708400077
91.834589,91.76,91.77,-0.00000554,-0.00001178,1772712000077
91.987169,91.93,91.94,-0.00001178,-0.00000773,1772715600078
90.822508,90.75,90.76,-0.00000773,-0.00002024,1772719200077
91.000548,90.94,90.961668,-0.00002024,-0.00002792,1772722800077
89.585976,89.55,89.56,-0.00002792,-0.00001462,1772726400078
88.975218,88.91,88.92,-0.00001462,-0.00000937,1772730000077
88.112903,88.06,88.07,-0.00000937,0.00000167,1772733600077
88.804819,88.75,88.76,0.00000167,0.00000453,1772737200077
88.770122,88.678582,88.7,0.00000453,-0.00000099,1772740800087
89.217696,89.14,89.15,-0.00000099,-0.00000192,1772744400077
89.127327,89.05,89.068558,-0.00000192,0.00000186,1772748000077
89.109967,89.028179,89.04,0.00000186,-0.00000881,1772751600078
88.775471,88.72,88.73,-0.00000881,-0.00000077,1772755200078
88.848612,88.79,88.8,-0.00000077,-0.00000827,1772758800088
89.13227,89.06,89.07,-0.00000827,-0.0000138,1772762400085
88.380558,88.31,88.32,-0.0000138,-0.00001687,1772766000078
88.405955,88.341384,88.36,-0.00001687,-0.0000187,1772769600077
88.137141,88.08,88.093475,-0.0000187,-0.00001287,1772773200078
87.909437,87.82,87.83,-0.00001287,-0.00002058,1772776800078
88.111854,88.01,88.02,-0.00002058,-0.00002689,1772780400077
88.698091,88.63,88.64,-0.00002689,-0.00002477,1772784000079
88.345603,88.27,88.309017,-0.00002477,-0.0000252,1772787600078
87.499967,87.414998,87.43,-0.0000252,-0.00002946,1772791200082
87.700829,87.64,87.65,-0.00002946,-0.0000216,1772794800078
87.270667,87.18,87.19,-0.0000216,-0.00001454,1772798400077
86.508239,86.42,86.43,-0.00001454,-0.0000225,1772802000078
85.614517,85.53,85.54,-0.0000225,-0.00001905,1772805600077
84.34334,84.263051,84.29,-0.00001905,-0.00002107,1772809200077
84.654708,84.56,84.57,-0.00002107,-0.00002404,1772812800077
84.363448,84.29,84.3,-0.00002404,-0.00002629,1772816400077
84.204083,84.13,84.14,-0.00002629,-0.00001676,1772820000077
85.366644,85.2,85.21,-0.00001676,-0.0000252,1772823600077
85.206903,85.140064,85.16,-0.0000252,-0.00001965,1772827200078
85.04949,84.95,84.96,-0.00001965,-0.00001167,1772830800077
84.729196,84.67,84.68,-0.00001167,-0.00001065,1772834400078
84.95736,84.9,84.91,-0.00001065,-0.00000469,1772838000090
84.69666,84.634998,84.65,-0.00000469,-0.00000242,1772841600077
84.75514,84.69,84.7,-0.00000242,-0.0000073,1772845200078
84.711858,84.648454,84.662814,-0.0000073,-0.0000074,1772848800077
84.654636,84.59,84.609296,-0.0000074,-0.00000273,1772852400077
84.540322,84.480831,84.5,-0.00000273,-0.0000093,1772856000077
84.260983,84.2,84.21,-0.0000093,-0.00001128,1772859600077
84.330116,84.28,84.29,-0.00001128,-0.00001134,1772863200078
84.030002,83.97,83.98,-0.00001134,-0.00000641,1772866800085
84.327482,84.261107,84.29,-0.00000641,-0.0000124,1772870400078
84.36868,84.31,84.32,-0.0000124,-0.00001065,1772874000078
84.571324,84.51,84.52,-0.00001065,-0.00001499,1772877600078
84.476611,84.434999,84.45,-0.00001499,-0.00000915,1772881200077
84.663061,84.6,84.61,-0.00000915,-0.0000086,1772884800077
84.306,84.23,84.251999,-0.0000086,-0.00000886,1772888400077
84.307315,84.24,84.25,-0.00000886,-0.00001533,1772892000078
84.219453,84.16,84.17,-0.00001533,-0.00001382,1772895600078
83.745318,83.68,83.69,-0.00001382,-0.00001343,1772899200078
83.591084,83.52,83.53,-0.00001343,-0.00000855,1772902800078
83.622329,83.57,83.58,-0.00000855,-0.00000138,1772906400078
83.384489,83.321065,83.34,-0.00000138,-0.00000566,1772910000077
82.527983,82.464999,82.48,-0.00000566,-0.00001085,1772913600077
83.030385,82.960972,82.98,-0.00001085,-0.00001049,1772917200077
83.274758,83.2,83.219459,-0.00001049,-0.00001182,1772920800077
82.921594,82.9,82.917767,-0.00001182,-0.00002435,1772924400077
83.215267,83.15,83.16,-0.00002435,-0.00002659,1772928000077
83.067498,83.01,83.02,-0.00002659,-0.00001846,1772931600077
82.974487,82.91,82.92,-0.00001846,-0.00002371,1772935200078
82.424954,82.32,82.33,-0.00002371,-0.00002574,1772938800077
82.366404,82.27,82.28,-0.00002574,-0.00003344,1772942400078
81.960275,81.89,81.9,-0.00003344,-0.00003288,1772946000077
82.499079,82.42,82.43,-0.00003288,-0.00003224,1772949600078
82.464417,82.39,82.4,-0.00003224,-0.00002285,1772953200078
82.962078,82.87202,82.89,-0.00002285,-0.00001311,1772956800077
83.095759,83.03,83.04,-0.00001311,-0.00002147,1772960400077
83.199684,83.1,83.11,-0.00002147,-0.00002088,1772964000077
83.673941,83.590865,83.61,-0.00002088,-0.00001009,1772967600078
82.819069,82.75,82.76,-0.00001009,-0.00000944,1772971200077
82.316033,82.25,82.26,-0.00000944,-0.00002225,1772974800078
82.086949,82.02,82.03,-0.00002225,-0.00002004,1772978400088
82.327941,82.251019,82.27,-0.00002004,-0.00001576,1772982000077
82.079,81.99,82,-0.00001576,-0.00002084,1772985600077
81.534491,81.46,81.47,-0.00002084,-0.0000317,1772989200078
81.626204,81.610505,81.63,-0.0000317,-0.00003291,1772992800077
81.608302,81.53,81.54,-0.00003291,-0.000028,1772996400078
82.470676,82.39,82.433837,-0.000028,-0.00002119,1773000000078
82.315609,82.26,82.279117,-0.00002119,-0.00002237,1773003600077
82.223676,82.18,82.19,-0.00002237,-0.0000283,1773007200078
81.964155,81.93,81.942829,-0.0000283,-0.00003319,1773010800078
81.613654,81.54,81.55,-0.00003319,-0.00001508,1773014400087
82.347686,82.280907,82.31,-0.00001508,-0.00001335,1773018000077
82.101123,82.039206,82.05,-0.00001335,-0.00001032,1773021600077
82.685913,82.61,82.629306,-0.00001032,-0.00000983,1773025200085
83.159683,83.1,83.11,-0.00000983,-0.00000644,1773028800077
83.176428,83.15,83.16,-0.00000644,-0.0000065,1773032400079
